,GEOID,NAME,population_estimate,race_estimate,med_inc_estimate,tenure_estimate,poverty_estimate,population_moe,race_moe,med_inc_moe,tenure_moe,poverty_moe,LOCAL.HEALTH.UNIT,OPERATION.NAME,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR.TYPE,CREATION.DATE,LOCATION,LAT,LONG,ADDRESS,census_code,census_tract
10,36005001902,"Census Tract 19.02, Bronx County, New York",1399,1399,60804,376,1270,403,403,12156,52,392,NYC,SPEEDWAY LLC  SPEEDWAY #07811,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"126 BRUNKNER BOULEVARD BRONX, NY 10454 (40.803975412, -73.921135577)",40.803975412,-73.921135577,"126 BRUNKNER BOULEVARD BRONX, NY 10454 ",360050019021042,36005001902
11,36005002300,"Census Tract 23, Bronx County, New York",4465,4465,22177,1918,4464,642,642,7257,196,642,NYC,W DELI GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"165 LINCOLN AVENUE BRONX, NY 10454 (40.809248467, -73.928652971)",40.809248467,-73.928652971,"165 LINCOLN AVENUE BRONX, NY 10454 ",360050023001002,36005002300
12,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,SKY MANHATTAN,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"430 EAST 138TH STREET BRONX, NY 10454 (40.808472806, -73.921777799)",40.808472806,-73.921777799,"430 EAST 138TH STREET BRONX, NY 10454 ",360050025003000,36005002500
13,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,"JORDAN DELICATESSEN 3, CORP",BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"206 WILLIS AVENUE BRONX, NY 10454 (40.807827525, -73.923611927)",40.807827525,-73.923611927,"206 WILLIS AVENUE BRONX, NY 10454 ",360050025004000,36005002500
14,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,B & E FAMILY DISCOUNT INC.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"230 BROOK AVENUE BRONX, NY 10454 (40.807298124, -73.919232131)",40.807298124,-73.919232131,"230 BROOK AVENUE BRONX, NY 10454 ",360050025001000,36005002500
15,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,548 MOON LIGHT CANDY GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"548 EAST 138TH STREET BRONX, NY 10454 (40.806769897, -73.91773856)",40.806769897,-73.91773856,"548 EAST 138TH STREET BRONX, NY 10454 ",360050025001000,36005002500
16,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,BX CONVENIENCE CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"526 EAST 138 STREET BRONX, NY 10454 (40.807128516, -73.918596867)",40.807128516,-73.918596867,"526 EAST 138 STREET BRONX, NY 10454 ",360050025001000,36005002500
17,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,206 SAMY GOURMET DELI CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"206 WILLIS AVENUE BRONX, NY 10454 (40.807827525, -73.923611927)",40.807827525,-73.923611927,"206 WILLIS AVENUE BRONX, NY 10454 ",360050025004000,36005002500
18,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,"JORDAN DELICATE DELI 3, CORP.",BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"211 SAINT ANNS AVENUE BRONX, NY 10454 (40.806310191, -73.918020359)",40.806310191,-73.918020359,"211 SAINT ANNS AVENUE BRONX, NY 10454 ",360050025001000,36005002500
19,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,217 BAITOA DELI GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"217 ST ANNS AVENUE BRONX, NY 10454 (40.80649057, -73.917888344)",40.80649057,-73.917888344,"217 ST ANNS AVENUE BRONX, NY 10454 ",360050025001000,36005002500
20,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,FAMILY TIME GROCERY & CANDY INC,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"460 EAST 138TH STREET BRONX, NY 10454 (40.808174662, -73.921061817)",40.808174662,-73.921061817,"460 EAST 138TH STREET BRONX, NY 10454 ",360050025003000,36005002500
21,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,CONVENIENCE & SMOKE INCORPORATED,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"545 EAST 137TH  STREET BRONX, NY 10454 (40.806469825, -73.91844683)",40.806469825,-73.91844683,"545 EAST 137TH  STREET BRONX, NY 10454 ",360050025001000,36005002500
22,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,RELEAF LAND CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"221 BROOK AVENUE BRONX, NY 10454 (40.807104544, -73.919756754)",40.807104544,-73.919756754,"221 BROOK AVENUE BRONX, NY 10454 ",360050025001001,36005002500
23,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,WILLIS GROCERY AND DELI CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"408 EAST 138TH STREET BRONX, NY 10454 (40.808874299, -73.922713387)",40.808874299,-73.922713387,"408 EAST 138TH STREET BRONX, NY 10454 ",360050025003000,36005002500
24,36005002500,"Census Tract 25, Bronx County, New York",5662,5662,25954,1919,5642,679,679,9864,132,677,NYC,SKY CONVENIENCE 1 CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"440 EAST 138TH STREET BRONX, NY 10454 (40.808359776, -73.92151159)",40.808359776,-73.92151159,"440 EAST 138TH STREET BRONX, NY 10454 ",360050025003000,36005002500
25,36005002701,"Census Tract 27.01, Bronx County, New York",2938,2938,18686,1119,2901,583,583,3057,123,569,NYC,"MILI BROOK GROCERY, INC",BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"575 EAST 137TH STREET BRONX, NY 10454 (40.8061708, -73.917753815)",40.8061708,-73.917753815,"575 EAST 137TH STREET BRONX, NY 10454 ",360050027012000,36005002701
26,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,LOTUS JACKSON AVE GAS CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"250 JACKSON AVENUE BRONX, NY 10454 (40.805146741000044, -73.91249023099994)",40.805146741,-73.9124902309999,"250 JACKSON AVENUE BRONX, NY 10454 ",360050027022000,36005002702
27,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,"DE LA CRUZ FIGUEROA, GENOVEVA",BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"694 EAST 141ST STREET BRONX, NY 10454 (40.807144065, -73.912613193)",40.807144065,-73.912613193,"694 EAST 141ST STREET BRONX, NY 10454 ",360050027021001,36005002702
28,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,LA VICTORIA GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"662 EAST 141ST STREET BRONX, NY 10454 (40.807384123, -73.913181654)",40.807384123,-73.913181654,"662 EAST 141ST STREET BRONX, NY 10454 ",360050027021001,36005002702
29,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,BRUCKNER PETROLEUM LLC,BRONX,NY,10454,BRONX,NEW YORK CITY,CONVENIENCE/GAS,07/10/2023,"281 BRUCKNER BOULEVARD BRONX, NY 10454 (40.805726392, -73.911243674)",40.805726392,-73.911243674,"281 BRUCKNER BOULEVARD BRONX, NY 10454 ",360050027021003,36005002702
30,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,NATURES BOUTIQUE SMOKE SHOP AND ACCE,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"710 EAST 138TH STREET BRONX, NY 10454 (40.804816955000035, -73.91311124599997)",40.804816955,-73.913111246,"710 EAST 138TH STREET BRONX, NY 10454 ",360050027022002,36005002702
31,36005002702,"Census Tract 27.02, Bronx County, New York",4413,4413,14681,1524,4303,699,699,12224,136,668,NYC,"AN KASSEM, AQEEL",BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"268 CYPRESS AVENUE BRONX, NY 10454 (40.80611921, -73.914007523)",40.80611921,-73.914007523,"268 CYPRESS AVENUE BRONX, NY 10454 ",360050027022001,36005002702
32,36005002800,"Census Tract 28, Bronx County, New York",5372,5372,54321,2451,5338,827,827,10891,350,824,NYC,1459 MIA DELI & GROCERY LLC,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1459-1463 STORY AVENUE BRONX, NY 10473 (40.821463499, -73.880202805)",40.821463499,-73.880202805,"1459-1463 STORY AVENUE BRONX, NY 10473 ",360050028001015,36005002800
33,36005002800,"Census Tract 28, Bronx County, New York",5372,5372,54321,2451,5338,827,827,10891,350,824,NYC,BLUESTAR DELI CORP.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1616 BRUCKNER BOULEVARD BRONX, NY 10473 (40.822599205, -73.874666138)",40.822599205,-73.874666138,"1616 BRUCKNER BOULEVARD BRONX, NY 10473 ",360050028001003,36005002800
34,36005002800,"Census Tract 28, Bronx County, New York",5372,5372,54321,2451,5338,827,827,10891,350,824,NYC,MUKTI 1500 PETROLEUM INC,BRONX,NY,10473,BRONX,NEW YORK CITY,GAS STATION,07/10/2023,"1500 BRUCKNER BOULEVARD BRONX, NY 10473 (40.82319059, -73.878532208)",40.82319059,-73.878532208,"1500 BRUCKNER BOULEVARD BRONX, NY 10473 ",360050028001005,36005002800
35,36005002800,"Census Tract 28, Bronx County, New York",5372,5372,54321,2451,5338,827,827,10891,350,824,NYC,SYLVIA'S DELI & GROCERY INC.,BRONX,NY,10473,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1616 BRUCKNER BOULEVARD BRONX, NY 10473 (40.822599205, -73.874666138)",40.822599205,-73.874666138,"1616 BRUCKNER BOULEVARD BRONX, NY 10473 ",360050028001003,36005002800
36,36005003100,"Census Tract 31, Bronx County, New York",2165,2165,34276,893,2165,430,430,16573,255,430,NYC,"M & M CONVENIENCE STORE, CORP.",BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"818 EAST 149TH STREET BRONX, NY 10455 (40.812429777, -73.905908341)",40.812429777,-73.905908341,"818 EAST 149TH STREET BRONX, NY 10455 ",360050031001001,36005003100
37,36005003100,"Census Tract 31, Bronx County, New York",2165,2165,34276,893,2165,430,430,16573,255,430,NYC,"LOUNGE 420, INC",BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"516 TIMPSON PLACE BRONX, NY 10455 (40.8107728, -73.904461206)",40.8107728,-73.904461206,"516 TIMPSON PLACE BRONX, NY 10455 ",360050031001004,36005003100
38,36005003100,"Census Tract 31, Bronx County, New York",2165,2165,34276,893,2165,430,430,16573,255,430,NYC,SHIRLEYN MINI KARKET CORP.,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"808 EAST 149TH STREET BRONX, NY 10455 (40.81249151, -73.906204474)",40.81249151,-73.906204474,"808 EAST 149TH STREET BRONX, NY 10455 ",360050031001001,36005003100
39,36005003300,"Census Tract 33, Bronx County, New York",3339,3339,20129,1237,3289,760,760,12453,167,753,NYC,STEVEN DELI & GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"325 CYPRESS AVENUE BRONX, NY 10454 (40.807787376, -73.913482062)",40.807787376,-73.913482062,"325 CYPRESS AVENUE BRONX, NY 10454 ",360050033002001,36005003300
40,36005003300,"Census Tract 33, Bronx County, New York",3339,3339,20129,1237,3289,760,760,12453,167,753,NYC,332 BELLO MINI MARKET INC,BRONX,NY,10453,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"332 ST. ANNS STREET BRONX, NY 10453 (40.808845088, -73.915979031)",40.808845088,-73.915979031,"332 ST. ANNS STREET BRONX, NY 10453 ",360050033003001,36005003300
41,36005003500,"Census Tract 35, Bronx County, New York",3880,3880,30793,1469,3880,899,899,2860,294,899,NYC,OSCAR DELI GROCERY CORP.,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"750 EAST 149TH STREET BRONX, NY 10455 (40.812874311, -73.908070872)",40.812874311,-73.908070872,"750 EAST 149TH STREET BRONX, NY 10455 ",360050035003001,36005003500
42,36005003500,"Census Tract 35, Bronx County, New York",3880,3880,30793,1469,3880,899,899,2860,294,899,NYC,728 EAST FOOD CORP,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"728 EAST 149TH STREET BRONX, NY 10455 (40.813008757, -73.90870731)",40.813008757,-73.90870731,"728 EAST 149TH STREET BRONX, NY 10455 ",360050035003002,36005003500
43,36005003500,"Census Tract 35, Bronx County, New York",3880,3880,30793,1469,3880,899,899,2860,294,899,NYC,LA FORUTNA FOOD DELI CORP 1,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"481 WALES AVENUE BRONX, NY 10455 (40.811309158, -73.9079433)",40.811309158,-73.9079433,"481 WALES AVENUE BRONX, NY 10455 ",360050035001001,36005003500
44,36005003500,"Census Tract 35, Bronx County, New York",3880,3880,30793,1469,3880,899,899,2860,294,899,NYC,390 JACKSON DELI GROCERY CORP,BRONX,NY,10451,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"390 JACKSON AVENUE BRONX, NY 10451 (40.80890921, -73.910500032)",40.80890921,-73.910500032,"390 JACKSON AVENUE BRONX, NY 10451 ",360050035001008,36005003500
45,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,JASMINE GROCERY INC,BRONX,NY,10454,BRONX,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"317 ALEXANDER AVENUE BRONX, NY 10454 (40.811974095, -73.923977378)",40.811974095,-73.923977378,"317 ALEXANDER AVENUE BRONX, NY 10454 ",360050039003000,36005003900
46,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,EMPINE DELI GROCERY INC,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"511 EAST 138TH STREET BRONX, NY 10454 (40.807627701, -73.918972711)",40.807627701,-73.918972711,"511 EAST 138TH STREET BRONX, NY 10454 ",360050039001001,36005003900
47,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,383 CAPELLAN GROCERY CORP.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"383 EAST 138TH STREET BRONX, NY 10454 (40.809440078, -73.923229041)",40.809440078,-73.923229041,"383 EAST 138TH STREET BRONX, NY 10454 ",360050039002001,36005003900
48,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,PSB DELI GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"249 WILLIS AVENUE BRONX, NY 10454 (40.809763368, -73.922656725)",40.809763368,-73.922656725,"249 WILLIS AVENUE BRONX, NY 10454 ",360050039002001,36005003900
49,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,EMPIDE DELI GROCERY INC.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"511 EAST 138TH STREET BRONX, NY 10454 (40.807627701, -73.918972711)",40.807627701,-73.918972711,"511 EAST 138TH STREET BRONX, NY 10454 ",360050039001001,36005003900
50,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,296 UP IN SMOKE CORP.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"296 WILLIS AVENUE BRONX, NY 10454 (40.810240046, -73.921842172)",40.810240046,-73.921842172,"296 WILLIS AVENUE BRONX, NY 10454 ",360050039005000,36005003900
51,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,229 MOTT HAVEN INC.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"229 SAINT ANNS AVENUE BRONX, NY 10454 (40.807490112, -73.917209578)",40.807490112,-73.917209578,"229 SAINT ANNS AVENUE BRONX, NY 10454 ",360050039001001,36005003900
52,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,JOSE DELI GROCERY CORP.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"221 ST ANNS AVENUE BRONX, NY 10454 (40.807224447, -73.917405882)",40.807224447,-73.917405882,"221 ST ANNS AVENUE BRONX, NY 10454 ",360050039001001,36005003900
53,36005003900,"Census Tract 39, Bronx County, New York",6710,6710,20049,2264,6671,1226,1226,9732,292,1219,NYC,FIRST 1 DELI CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"333 EAST 138TH STREET BRONX, NY 10454 (40.810077479, -73.924767288)",40.810077479,-73.924767288,"333 EAST 138TH STREET BRONX, NY 10454 ",360050039002001,36005003900
54,36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390,NYC,MAKEY DELI GROCERY # 1 INC.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2704 3RD AVENUE BRONX, NY 10454 (40.813587569, -73.922071333)",40.813587569,-73.922071333,"2704 3RD AVENUE BRONX, NY 10454 ",360050041004000,36005004100
55,36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390,NYC,N&M GROCERY CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2660 3RD AVENUE BRONX, NY 10454 (40.812862954, -73.923424424)",40.812862954,-73.923424424,"2660 3RD AVENUE BRONX, NY 10454 ",360050041003000,36005004100
56,36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390,NYC,2690 GROCERY CORP.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2690 3RD AVENUE BRONX, NY 10454 (40.813367209, -73.922481543)",40.813367209,-73.922481543,"2690 3RD AVENUE BRONX, NY 10454 ",360050041004000,36005004100
57,36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390,NYC,142 CONVENIENCE CORP,BRONX,NY,10454,BRONX,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"510 EAST 142ND STREET BRONX, NY 10454 (40.810194197, -73.917402781)",40.810194197,-73.917402781,"510 EAST 142ND STREET BRONX, NY 10454 ",360050041001002,36005004100
58,36005004100,"Census Tract 41, Bronx County, New York",5798,5798,20551,2318,5773,1391,1391,6544,339,1390,NYC,SOSUA FOOD CENTER CORP.,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2634 3RD AVENUE BRONX, NY 10454 (40.812466951, -73.924253394)",40.812466951,-73.924253394,"2634 3RD AVENUE BRONX, NY 10454 ",360050041003001,36005004100
59,36005004200,"Census Tract 42, Bronx County, New York",7803,7803,57250,2856,7747,987,987,32071,327,972,NYC,1901 SAFEWAY GOURMET DELI CORP,BRONX,NY,10473,BRONX,NEW YORK CITY,BAR/LOUNGE,07/10/2023,"1901 STORY  AVENUE BRONX, NY 10473 (40.824224833, -73.859673344)",40.824224833,-73.859673344,"1901 STORY  AVENUE BRONX, NY 10473 ",360050042005000,36005004200
60,36005004200,"Census Tract 42, Bronx County, New York",7803,7803,57250,2856,7747,987,987,32071,327,972,NYC,SOUNDVIEW PETROLEUM INC,BRONX,NY,10473,BRONX,NEW YORK CITY,GAS STATION,07/10/2023,"902 SOUNDVIEW AVENUE BRONX, NY 10473 (40.82318664200005, -73.86793677399999)",40.823186642,-73.867936774,"902 SOUNDVIEW AVENUE BRONX, NY 10473 ",360050042001002,36005004200
61,36005004300,"Census Tract 43, Bronx County, New York",5527,5527,25534,2179,5514,694,694,7655,179,697,NYC,520 EAST GROCERY CORP.,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"520 BROOK AVENUE BRONX, NY 10455 (40.814365074, -73.915113012)",40.814365074,-73.915113012,"520 BROOK AVENUE BRONX, NY 10455 ",360050043001000,36005004300
62,36005004300,"Census Tract 43, Bronx County, New York",5527,5527,25534,2179,5514,694,694,7655,179,697,NYC,RED STAR OG LLC,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2810B 3RD AVENUE BRONX, NY 10455 (40.815207174, -73.919104249)",40.815207174,-73.919104249,"2810B 3RD AVENUE BRONX, NY 10455 ",360050043002002,36005004300
63,36005004300,"Census Tract 43, Bronx County, New York",5527,5527,25534,2179,5514,694,694,7655,179,697,NYC,LA PLACITA DE PONCE FOOD CORP.,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"459 BROOK AVENUE BRONX, NY 10455 (40.812661411, -73.916450345)",40.812661411,-73.916450345,"459 BROOK AVENUE BRONX, NY 10455 ",360050043004001,36005004300
